Title,Subject,Audience,"Send Date","Send Weekday","Total Recipients","Successful Deliveries","Soft Bounces","Hard Bounces","Total Bounces","Times Forwarded","Forwarded Opens","Unique Opens","Open Rate","Total Opens","Unique Clicks","Click Rate","Total Clicks",Unsubscribes,"Abuse Complaints","Times Liked on Facebook","Folder Id","Unique Id","Total Orders","Total Gross Sales","Total Revenue","Analytics ROI","Campaign Cost","Revenue Created",Visits,"New Visits",Pages/Visit,"Bounce Rate","Time on Site","Goal Conversion Rate","Per Visit Goal Value",Transactions,"Ecommerce Conversion Rate","Per Visit Value","Average Value"
"Gallery Sign-Ins","Hi *|FNAME|*, take a look at some of our specials!","Zenfolio Photo Gallery Sign Ins","Feb 21, 2016 06:10 pm",Sunday,350,330,2,18,20,0,0,204,61.82%,428,15,4.55%,15,6,0,0,11281,2c31ea877a,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Vendor Partnership","Raj Photo Video Partnership","Vendor Partners of Raj Photo Video","Jan 06, 2018 07:00 pm",Saturday,69,68,1,0,1,0,0,42,61.76%,219,2,2.94%,3,0,0,0,11281,15c930eb0b,0,0,0,0.00%,$0.23,$0.00,2,1,1,100.00%,00:00,0.00%,$0.00,0,0.00%,$0.00,$0.00
"Venue Partnership","Raj Photo Video Partnership","Venue Partners","Jan 06, 2018 08:42 pm",Saturday,39,37,2,0,2,0,0,23,62.16%,97,2,5.41%,2,0,0,0,11281,78536ef607,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Re-sent] Vendor Partnership","Raj Photo Video Partnership","Vendor Partners of Raj Photo Video","Jan 07, 2018 07:09 pm",Sunday,37,36,1,0,1,0,0,15,41.67%,134,1,2.78%,1,0,0,0,11281,3b1c98338e,0,0,0,0.00%,$0.12,$0.00,1,1,1,100.00%,00:00,0.00%,$0.00,0,0.00%,$0.00,$0.00
"Neha & Ankur's RSPC Updates","*|COUPLE|*'s Wedding Film Collection: Now Streaming! 🎥","Guest Content Notifications","Jan 16, 2018 07:00 pm",Tuesday,5,3,0,2,2,0,0,1,33.33%,1,1,33.33%,4,0,0,0,11577,a53e7e50a4,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Re-sent] Venue Partnership","Raj Photo Video Partnership","Venue Partners","Jan 18, 2018 09:20 am",Thursday,17,15,2,0,2,0,0,2,13.33%,4,1,6.67%,1,0,0,0,0,a6f3773bc4,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Neha & Ankur's RSPC Updates","Neha & Ankur's Wedding Film Collection: Now Streaming! 🎥","Guest Content Notifications","Jan 21, 2018 12:01 pm",Sunday,4,3,0,1,1,0,0,1,33.33%,2,0,0.00%,0,0,0,0,11577,adf140b001,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Karen & Salman's RSPC Updates","Karen & Salman's Wedding Film Collection: Now Streaming! 🎥","Guest Content Notifications","Jan 25, 2018 07:02 am",Thursday,33,26,3,4,7,0,0,15,57.69%,52,11,42.31%,31,0,0,0,11577,d31e5b6e3a,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Neha & Ankur's RSPC Updates","Neha & Ankur's Wedding Film Collection: Now Streaming! 🎥","Guest Content Notifications","Jan 28, 2018 09:00 am",Sunday,3,3,0,0,0,0,0,2,66.67%,7,0,0.00%,0,0,0,0,11577,be70956a9b,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Yudelkis & Stephen's RSPC Updates","Yudelkis & Stephen's Wedding Film Collection: Now Streaming! 🎥","Guest Content Notifications","Jan 30, 2018 11:01 am",Tuesday,6,6,0,0,0,0,0,3,50.00%,37,2,33.33%,13,0,0,0,11577,b56e614fe0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
